avg,evals,gen,max,min,std
0.07466666666666666,300,0,3.8,0.0,0.2752421156404343
0.1406666666666667,300,1,4.8,0.0,0.4106249978860138
0.3653333333333333,300,2,5.0,0.0,0.6882815961185912
0.9373333333333332,300,3,5.8,0.0,1.2019177268940757
1.41,300,4,6.4,0.0,1.5407465722824114
2.0519999999999996,300,5,8.0,0.0,1.7433194390778377
2.4226666666666663,300,6,7.8,0.0,1.8741805913222154
2.6133333333333333,300,7,7.4,0.0,1.8209399282299847
2.736666666666667,300,8,9.6,0.0,2.028428510503198
2.8266666666666667,300,9,8.2,0.0,1.984965714789273
2.778,300,10,7.8,0.0,1.939600302467839
2.849333333333333,300,11,8.2,0.0,1.8814089283182314
2.9713333333333334,300,12,9.0,0.0,2.100820051524854
2.8066666666666666,300,13,8.4,0.0,2.1186054113234225
2.9373333333333336,300,14,8.0,0.0,2.098905958403621
3.1153333333333335,300,15,8.6,0.0,2.1062205223786252
3.5340000000000003,300,16,10.2,0.0,2.0811640973263015
3.3033333333333332,300,17,8.6,0.0,2.128940790367099
3.4279999999999995,300,18,9.8,0.0,2.1318574061132702
3.385333333333333,300,19,9.2,0.0,2.3207006604806995
3.5519999999999996,300,20,9.4,0.0,2.310172287947373
3.4659999999999997,300,21,10.2,0.0,2.2131826253911657
3.842666666666667,300,22,11.0,0.0,2.2853838967568567
4.402666666666668,300,23,13.6,0.0,3.1780066428851628
5.735333333333333,300,24,13.0,0.0,3.8136533082538526
6.484666666666667,300,25,14.2,0.0,3.841791885160997
6.744666666666666,300,26,13.8,0.0,3.9000177207574613
6.403333333333333,300,27,14.4,0.0,4.010202266996295
6.711333333333333,300,28,14.0,0.0,3.8381251788977506
6.564,300,29,14.8,0.0,3.8839203562036815
6.924666666666667,300,30,14.6,0.0,4.168555891699453
7.946000000000001,300,31,16.0,0.0,4.694892686029505
8.178666666666667,300,32,15.6,0.0,5.161738552938234
7.921333333333334,300,33,15.6,0.0,5.470985123560675
8.890666666666666,300,34,16.0,0.0,5.118181274198439
9.469333333333333,300,35,15.2,0.0,4.855182065472817
9.060666666666666,300,36,15.0,0.0,5.1631695261298125
8.828000000000001,300,37,15.8,0.0,5.2370235821504565
9.277333333333333,300,38,15.6,0.0,4.914565381484805
9.086,300,39,16.0,0.0,5.163584413951224
9.205333333333334,300,40,15.0,0.0,4.91807261254063
9.340666666666666,300,41,15.2,0.0,4.845156986334109
9.156666666666666,300,42,15.4,0.0,5.0231055024644755
8.974666666666668,300,43,15.6,0.0,5.190211128225475
9.112666666666668,300,44,15.4,0.0,5.045285544171135
8.833333333333334,300,45,15.2,0.0,5.03324503233804
9.288666666666666,300,46,14.8,0.0,4.910587699609443
8.187999999999999,300,47,15.6,0.0,5.454330634153623
7.874666666666667,300,48,15.4,0.0,5.472795588687336
8.966000000000001,300,49,15.4,0.0,5.3165443664094445
