avg,evals,gen,max,min,std
0.06266666666666666,300,0,1.0,0.0,0.1426168137196858
0.15666666666666668,300,1,1.6,0.0,0.3008691114458615
0.42600000000000005,300,2,2.2,0.0,0.4598449013888632
0.682,300,3,4.4,0.0,0.5287179462309434
0.8486666666666667,300,4,4.4,0.0,0.7670929249807715
1.162,300,5,5.4,0.0,0.9468664108521329
1.4353333333333333,300,6,4.8,0.0,1.0145367853798546
1.686,300,7,5.4,0.0,1.1529400100034115
1.7986666666666666,300,8,7.6,0.0,1.2457922066790361
1.71,300,9,6.6,0.0,1.243449503062616
1.9719999999999998,300,10,9.6,0.0,1.3292664643830194
2.0473333333333334,300,11,12.8,0.0,1.7175252221987567
2.745333333333333,300,12,12.6,0.0,2.557227317927672
4.382,300,13,16.0,0.0,3.6633785863143693
5.532666666666667,300,14,15.6,0.0,3.8422388727870054
5.312666666666667,300,15,16.6,0.0,4.400178733743538
7.067333333333333,300,16,21.2,0.0,5.4456220540499825
8.438666666666666,300,17,22.2,0.0,5.904583379789711
9.166666666666666,300,18,24.2,0.0,6.325669046740344
10.264,300,19,23.2,0.0,6.434234271975701
10.41,300,20,22.8,0.0,6.823530366801827
11.043999999999999,300,21,23.6,0.0,7.022188452802065
11.276666666666667,300,22,29.6,0.0,6.953703249987656
11.746,300,23,29.8,0.0,7.148474242801746
11.929333333333334,300,24,25.0,0.0,6.932729589098045
11.636666666666667,300,25,23.6,0.0,6.78921612231895
11.881333333333332,300,26,24.8,0.0,6.86970534706952
12.493333333333334,300,27,25.4,0.0,7.086519283509751
12.033333333333333,300,28,26.2,0.0,7.020614091532323
11.958,300,29,28.6,0.0,7.039505380351662
10.927333333333335,300,30,24.6,0.0,6.968494784066037
11.016,300,31,24.6,0.0,7.27917651020132
11.185333333333334,300,32,24.6,0.0,7.221028427831839
11.749333333333334,300,33,24.6,0.0,7.294187152947354
12.158666666666667,300,34,25.2,0.0,6.814388567990202
12.108666666666666,300,35,23.2,0.0,6.844096596499952
11.54,300,36,25.8,0.0,7.2122211095704305
11.326666666666666,300,37,26.2,0.0,7.303256503475389
11.584,300,38,22.6,0.0,6.869702371039569
12.198666666666666,300,39,28.2,0.0,6.92152186219829
12.856,300,40,24.8,0.0,6.83060251124794
12.382666666666667,300,41,24.0,0.0,7.042175295240022
12.228666666666667,300,42,24.8,0.0,7.221328009599219
12.158666666666669,300,43,23.8,0.0,7.110491653574706
12.410666666666668,300,44,25.2,0.0,7.146217150042081
13.156666666666666,300,45,26.0,0.0,6.853056901039775
12.871333333333334,300,46,25.6,0.0,7.20315520372072
11.461333333333336,300,47,23.6,0.0,7.630847804944233
11.471333333333332,300,48,23.6,0.0,7.618913629178959
11.858,300,49,25.0,0.0,7.856477327657733
