avg,evals,gen,max,min,std
0.07,300,0,1.4,0.0,0.17597348285087347
0.11933333333333332,300,1,1.2,0.0,0.24445767640954857
0.29600000000000004,300,2,1.8,0.0,0.3799789467852134
0.5333333333333333,300,3,2.4,0.0,0.46341725858620714
0.6099999999999999,300,4,2.0,0.0,0.4345495752308744
0.7146666666666668,300,5,2.2,0.0,0.47963689970180107
0.732,300,6,3.0,0.0,0.542502841774431
0.8460000000000001,300,7,3.0,0.0,0.5441972681543584
1.0853333333333335,300,8,7.4,0.0,1.0085888932342828
1.5413333333333334,300,9,9.0,0.0,1.479197379962826
1.9606666666666668,300,10,9.8,0.0,1.8417888647242449
2.5319999999999996,300,11,12.0,0.0,2.2370611673949967
2.8813333333333335,300,12,8.6,0.0,1.9852921419501182
3.296,300,13,9.4,0.0,2.16107627506913
3.566666666666667,300,14,9.2,0.0,2.014933139227095
3.7226666666666666,300,15,10.2,0.0,2.1579974255982997
3.628,300,16,10.0,0.0,2.009050190181088
3.6613333333333338,300,17,9.2,0.0,1.9910394828386055
3.464666666666667,300,18,9.2,0.0,2.125955053355759
3.576,300,19,11.0,0.0,2.0216719153545495
3.65,300,20,9.4,0.0,1.951828202822506
3.779333333333333,300,21,9.2,0.0,2.0399279943719146
3.5033333333333334,300,22,11.6,0.0,1.9920146139579955
3.4873333333333325,300,23,9.2,0.0,1.933556194051664
3.6273333333333326,300,24,9.0,0.0,2.0593654901989162
3.701333333333334,300,25,9.6,0.0,2.060129014298754
3.8866666666666667,300,26,9.2,0.0,1.9394730097517614
3.65,300,27,9.6,0.0,2.1395404490996035
3.5186666666666664,300,28,8.0,0.0,2.044256561415149
3.7473333333333336,300,29,10.2,0.0,2.0419009661478578
3.862666666666666,300,30,13.0,0.0,2.047324975560928
3.9266666666666667,300,31,9.0,0.0,2.0547073324982863
3.6613333333333338,300,32,10.2,0.0,2.0997074928559827
3.7873333333333337,300,33,9.6,0.0,2.0902885499907
3.741333333333334,300,34,12.0,0.0,2.113139423280495
3.5779999999999994,300,35,10.4,0.0,1.9989787392566234
3.780666666666667,300,36,9.6,0.0,2.0703686198892752
3.480666666666667,300,37,8.6,0.0,2.1492385214820207
3.3906666666666663,300,38,8.2,0.0,2.071757600578686
3.3386666666666662,300,39,9.6,0.0,2.126210609407157
3.756666666666667,300,40,8.6,0.0,2.1385639002740966
3.5693333333333332,300,41,9.6,0.0,2.1613251079423987
3.5186666666666664,300,42,9.4,0.0,2.233155813840335
3.230666666666667,300,43,9.6,0.0,2.152609166156788
3.2193333333333336,300,44,9.4,0.0,2.2400058531669558
3.505333333333333,300,45,9.0,0.0,2.1472086272388364
3.6493333333333338,300,46,9.6,0.0,2.1922209945370215
3.0820000000000003,300,47,8.8,0.0,2.16377971768539
3.1566666666666667,300,48,8.4,0.0,2.199967171472237
3.1786666666666665,300,49,8.6,0.0,2.0730842294084972
3.8233333333333333,300,50,9.2,0.0,2.0140478864438376
3.4819999999999998,300,51,10.0,0.0,2.1267994733871833
3.388666666666667,300,52,9.6,0.0,2.081987405234613
3.474666666666667,300,53,9.2,0.0,2.1514704015832726
3.302666666666667,300,54,7.8,0.0,2.0892405850505162
3.5120000000000005,300,55,9.4,0.0,2.158886132553853
3.39,300,56,12.4,0.0,2.3716731084475646
3.635333333333333,300,57,13.0,0.0,2.324468015601754
3.585333333333333,300,58,10.2,0.0,2.3559396332579396
3.5473333333333334,300,59,12.4,0.0,2.5536430621543196
3.9793333333333325,300,60,10.4,0.0,2.5993793276259023
4.718666666666667,300,61,10.0,0.0,2.709991061895879
4.466,300,62,13.2,0.0,2.815346751882143
4.342,300,63,10.8,0.0,2.7196021767898335
4.284666666666666,300,64,11.8,0.0,2.9356029855702372
4.944000000000001,300,65,12.0,0.0,2.6332357787837126
4.8180000000000005,300,66,13.0,0.0,2.8222111898297046
4.7219999999999995,300,67,12.8,0.0,2.9203052351880383
5.33,300,68,19.6,0.0,2.9751022391395785
5.267333333333333,300,69,14.2,0.0,3.3315261100916236
6.036,300,70,22.0,0.0,3.9008423022043157
7.592,300,71,22.2,0.0,5.285395223317426
9.822000000000001,300,72,26.0,0.0,5.753322170711458
9.654,300,73,22.6,0.0,5.930926065969799
9.627999999999998,300,74,22.6,0.0,6.013231189080737
9.768666666666666,300,75,25.4,0.0,6.753958213933187
10.744,300,76,26.2,0.0,7.689945643500999
11.972666666666667,300,77,27.0,0.0,7.795549128972391
12.820666666666666,300,78,27.0,0.0,7.5139496641616885
11.494,300,79,26.2,0.0,7.767082077588726
11.717333333333332,300,80,26.0,0.0,7.788972946130674
11.915333333333335,300,81,24.6,0.0,7.676832998632241
11.776666666666667,300,82,27.8,0.0,7.877249237872035
11.863999999999999,300,83,24.8,0.0,7.300002557077178
12.705333333333334,300,84,26.6,0.0,7.568643970722599
12.648666666666667,300,85,29.0,0.0,7.5108387162967505
11.729333333333335,300,86,25.8,0.0,7.7274449996245345
11.806,300,87,28.0,0.0,7.897702028649431
10.949333333333332,300,88,28.0,0.0,8.140915154671221
11.177333333333335,300,89,28.4,0.0,7.61425108303867
12.444666666666667,300,90,28.4,0.0,7.749219630962132
12.302000000000001,300,91,28.2,0.0,7.732399110237392
12.812666666666667,300,92,24.6,0.0,7.5124412070171225
12.792666666666667,300,93,26.4,0.0,7.468641970859823
12.646666666666667,300,94,26.0,0.0,7.685168978117673
12.752666666666668,300,95,25.0,0.0,7.675833910541722
12.168000000000001,300,96,26.6,0.0,7.404686083825566
12.945333333333334,300,97,29.2,0.0,7.2628881919584085
13.357333333333333,300,98,25.8,0.0,7.45564972949299
13.517999999999999,300,99,25.8,0.0,7.323101073543457
13.185333333333332,300,100,25.8,0.0,7.059710916335188
13.372666666666667,300,101,27.2,0.0,7.33440655783108
12.395999999999999,300,102,27.2,0.0,7.485896784398423
12.684666666666665,300,103,27.0,0.0,7.259634854606822
12.567333333333334,300,104,25.6,0.0,7.515681354489573
12.894,300,105,28.0,0.0,7.307354560076216
13.826666666666666,300,106,27.0,0.0,6.882815961185912
