avg,evals,gen,max,min,std
0.044,150,0,1.0,0.0,0.13240342392350232
0.08933333333333333,150,1,1.2,0.0,0.2020385001814148
0.13733333333333334,150,2,1.2,0.0,0.254177540750992
0.368,150,3,1.8,0.0,0.4013842714075046
0.4346666666666666,150,4,1.8,0.0,0.4161709050645206
0.5479999999999999,150,5,2.0,0.0,0.4408658148083912
0.636,150,6,2.0,0.0,0.5038888766384906
0.6880000000000001,150,7,2.4,0.0,0.5093682361514114
0.6306666666666666,150,8,3.2,0.0,0.5463755322323852
0.668,150,9,1.8,0.0,0.4941416800878064
0.78,150,10,3.4,0.0,0.660807586719967
1.0306666666666668,150,11,5.6,0.0,0.943111634726004
1.2133333333333334,150,12,7.0,0.0,1.1249098729330373
1.6866666666666668,150,13,6.8,0.0,1.4533486237727762
2.2333333333333334,150,14,7.8,0.0,1.6189571403289904
2.697333333333333,150,15,10.6,0.0,2.179753706780246
3.1160000000000005,150,16,8.6,0.0,2.2309663078286652
3.670666666666666,150,17,8.2,0.0,2.0770667351392977
3.62,150,18,8.6,0.0,2.1843992309099542
3.657333333333334,150,19,8.6,0.0,2.136081979284087
3.4786666666666664,150,20,10.0,0.0,2.325728177486689
3.52,150,21,8.8,0.0,2.2504518064898287
3.2079999999999997,150,22,8.0,0.0,2.1362746390231133
3.216,150,23,9.2,0.0,2.337693450105609
3.6786666666666665,150,24,9.6,0.0,2.159616838443544
3.081333333333333,150,25,9.6,0.0,2.407997416019285
3.4466666666666668,150,26,9.4,0.0,2.212138231565911
3.830666666666666,150,27,8.4,0.0,2.040619078177557
3.694666666666667,150,28,8.0,0.0,2.0199929592836594
3.7,150,29,9.6,0.0,2.2186782852259888
3.44,150,30,9.8,0.0,2.287123375188434
3.3973333333333335,150,31,9.6,0.0,2.3044289724113627
3.7466666666666666,150,32,9.2,0.0,2.300685888068068
3.3426666666666667,150,33,8.8,0.0,2.3186589994122797
3.749333333333334,150,34,8.4,0.0,2.3755629975977386
3.3626666666666667,150,35,9.0,0.0,2.269024655857421
3.4039999999999995,150,36,9.2,0.0,2.122196346555458
3.5053333333333336,150,37,9.0,0.0,2.2451959577927467
3.5826666666666664,150,38,9.4,0.0,2.2689717690815123
3.4613333333333336,150,39,8.8,0.0,2.109021468727987
3.630666666666667,150,40,10.8,0.0,2.336691298015684
3.505333333333333,150,41,9.2,0.0,2.0991041475406176
3.792,150,42,9.8,0.0,2.1941595201807913
3.550666666666667,150,43,8.2,0.0,2.0948109434717224
3.1066666666666665,150,44,8.2,0.0,2.280428809578487
3.546666666666667,150,45,9.4,0.0,2.393732557232649
3.1266666666666665,150,46,8.4,0.0,2.2025944298082254
3.328,150,47,8.8,0.0,2.2532086750528304
3.514666666666667,150,48,9.0,0.0,2.3112878564894412
3.802666666666667,150,49,8.8,0.0,2.2007255369284215
