avg,evals,gen,max,min,std
0.05966666666666667,1200,0,1.6,0.0,0.1535357359777268
0.12533333333333332,1200,1,1.4,0.0,0.23977396763526176
0.2851666666666667,1200,2,2.6,0.0,0.38320573963458443
0.49116666666666664,1200,3,2.6,0.0,0.45400657728960514
0.6501666666666667,1200,4,3.8,0.0,0.5112565946328278
0.8551666666666665,1200,5,5.2,0.0,0.7073824794425023
1.0985,1200,6,5.2,0.0,0.9224592583595945
1.6153333333333335,1200,7,9.4,0.0,1.3321029322924796
2.2713333333333336,1200,8,14.0,0.0,1.9821818506103037
3.365166666666667,1200,9,14.4,0.0,2.4454215667015142
3.924,1200,10,15.8,0.0,3.094741346219422
4.664000000000001,1200,11,15.0,0.0,4.17392349394827
6.615166666666666,1200,12,15.2,0.0,5.819977374431011
7.855,1200,13,15.4,0.0,6.411945232662758
8.310666666666666,1200,14,15.4,0.0,6.465076917992203
8.883833333333333,1200,15,15.6,0.0,6.455127572110579
8.943666666666667,1200,16,16.2,0.0,6.473661500435609
9.467,1200,17,16.2,0.0,6.38224968173449
9.3705,1200,18,16.2,0.0,6.451575757130966
9.515166666666666,1200,19,16.0,0.0,6.366634639971803
9.491666666666667,1200,20,16.6,0.0,6.3883902945542985
9.610833333333334,1200,21,16.0,0.0,6.402716817015171
10.042833333333334,1200,22,16.2,0.0,6.169813501143198
9.922,1200,23,15.8,0.0,6.231595515328853
9.6675,1200,24,16.2,0.0,6.29470230299522
9.904666666666667,1200,25,15.8,0.0,6.275389354897078
10.122333333333332,1200,26,16.2,0.0,6.154237122142399
10.523833333333334,1200,27,16.2,0.0,5.959678288763207
10.143666666666666,1200,28,16.2,0.0,6.146139158492554
9.921666666666667,1200,29,16.2,0.0,6.2394495394670475
9.806000000000001,1200,30,16.2,0.0,6.304836556168605
9.9095,1200,31,16.2,0.0,6.257095419068926
9.69,1200,32,16.0,0.0,6.292627961882593
10.185,1200,33,16.4,0.0,6.176323744753023
9.980666666666666,1200,34,16.8,0.0,6.2667130849344685
10.189,1200,35,16.2,0.0,6.139968430972046
10.248999999999999,1200,36,16.0,0.0,6.130345205070701
10.740333333333334,1200,37,16.6,0.0,5.977750961319445
10.907166666666667,1200,38,16.2,0.0,5.890587008571859
10.3995,1200,39,16.2,0.0,6.123503878499629
10.586166666666667,1200,40,16.0,0.0,6.060987980977652
10.564166666666667,1200,41,16.2,0.0,6.122163231970288
10.572666666666667,1200,42,17.0,0.0,6.184306985337072
10.4165,1200,43,16.8,0.0,6.211996009067188
10.406,1200,44,16.8,0.0,6.291107268729938
10.688333333333333,1200,45,16.6,0.0,6.111284416734524
10.326833333333333,1200,46,17.4,0.0,6.298969225639665
10.247833333333332,1200,47,16.8,0.0,6.340211245604431
10.463999999999999,1200,48,16.6,0.0,6.331990524313819
10.425166666666668,1200,49,17.4,0.0,6.3224942313580295
